Antibiotic,Semaine,% Resistance,Seuil Alerte (%),Alerte
VA,1,1.38,0.48,OUI
TPN,1,2.82,11.25,NON
GM,1,2.16,7.18,NON
OX,1,14.18,25.64,NON
VA,2,1.6,0.48,OUI
TPN,2,4.76,11.25,NON
GM,2,1.63,7.18,NON
OX,2,6.98,25.64,NON
VA,3,0,0.48,NON
TPN,3,4.96,11.25,NON
GM,3,0.7,7.18,NON
OX,3,8,25.64,NON
VA,4,0,0.48,NON
TPN,4,4.13,11.25,NON
GM,4,1.64,7.18,NON
OX,4,16.39,25.64,NON
VA,5,0,0.48,NON
TPN,5,4.76,11.25,NON
GM,5,0.95,7.18,NON
OX,5,6.25,25.64,NON
VA,6,0,0.48,NON
TPN,6,0.91,11.25,NON
GM,6,3.57,7.18,NON
OX,6,17.89,25.64,NON
VA,7,0,0.48,NON
TPN,7,2.56,11.25,NON
GM,7,0.85,7.18,NON
OX,7,9.76,25.64,NON
VA,8,0,0.48,NON
TPN,8,1.75,11.25,NON
GM,8,0,7.18,NON
OX,8,7.14,25.64,NON
VA,9,0.78,0.48,OUI
TPN,9,6.3,11.25,NON
GM,9,1.56,7.18,NON
OX,9,10.29,25.64,NON
VA,10,0.92,0.48,OUI
TPN,10,8.18,11.25,NON
GM,10,0.9,7.18,NON
OX,10,5.13,25.64,NON
VA,11,0.77,0.48,OUI
TPN,11,3.1,11.25,NON
GM,11,4.58,7.18,NON
OX,11,14.29,25.64,NON
VA,12,0.81,0.48,OUI
TPN,12,5.69,11.25,NON
GM,12,3.36,7.18,NON
OX,12,10.6,25.64,NON
VA,13,0,0.48,NON
TPN,13,1.15,11.25,NON
GM,13,3.49,7.18,NON
OX,13,7.53,25.64,NON
VA,14,0,0.48,NON
TPN,14,6,11.25,NON
GM,14,2.04,7.18,NON
OX,14,10.68,25.64,NON
VA,15,0,0.48,NON
TPN,15,0,11.25,NON
GM,15,3.06,7.18,NON
OX,15,15.32,25.64,NON
VA,16,1.68,0.48,OUI
TPN,16,3.42,11.25,NON
GM,16,0.83,7.18,NON
OX,16,5.47,25.64,NON
VA,17,0.83,0.48,OUI
TPN,17,2.56,11.25,NON
GM,17,1.65,7.18,NON
OX,17,14.17,25.64,NON
VA,18,0,0.48,NON
TPN,18,0,11.25,NON
GM,18,11.11,7.18,OUI
OX,18,11.65,25.64,NON
VA,19,0.96,0.48,OUI
TPN,19,2.91,11.25,NON
GM,19,5.88,7.18,NON
OX,19,5.71,25.64,NON
VA,20,0.97,0.48,OUI
TPN,20,12.84,11.25,OUI
GM,20,0.96,7.18,NON
OX,20,13.64,25.64,NON
VA,21,0,0.48,NON
TPN,21,4.17,11.25,NON
GM,21,1.03,7.18,NON
